[2015-Aug-22 11:15:27.713202] [4]  日志组件初始化完毕
[2015-Aug-22 11:15:28.668217] [4]  读取语音卡配置文件
[2015-Aug-22 11:15:28.668217] [4]  语音通道超时检测线程已开启
[2015-Aug-22 11:15:30.960253] [4]  语音卡配置文件读取成功
[2015-Aug-22 11:15:30.965253] [4]  正在初始化语音卡通道, 预期耗时10秒
[2015-Aug-22 11:15:30.987754] [5]  异常: 可能向量越界情况出现, 下标值: 30
[2015-Aug-22 11:15:30.999004] [5]  异常: 可能向量越界情况出现, 下标值: 31
[2015-Aug-22 11:15:31.006504] [5]  异常: 可能向量越界情况出现, 下标值: 32
[2015-Aug-22 11:15:31.014004] [5]  异常: 可能向量越界情况出现, 下标值: 33
[2015-Aug-22 11:15:31.021504] [5]  异常: 可能向量越界情况出现, 下标值: 34
[2015-Aug-22 11:15:31.027754] [5]  异常: 可能向量越界情况出现, 下标值: 35
[2015-Aug-22 11:15:31.035255] [5]  异常: 可能向量越界情况出现, 下标值: 36
[2015-Aug-22 11:15:31.042755] [5]  异常: 可能向量越界情况出现, 下标值: 37
[2015-Aug-22 11:15:31.050255] [5]  异常: 可能向量越界情况出现, 下标值: 38
[2015-Aug-22 11:15:31.057755] [5]  异常: 可能向量越界情况出现, 下标值: 39
[2015-Aug-22 11:15:31.065255] [5]  异常: 可能向量越界情况出现, 下标值: 40
[2015-Aug-22 11:15:31.072755] [5]  异常: 可能向量越界情况出现, 下标值: 41
[2015-Aug-22 11:15:31.080255] [5]  异常: 可能向量越界情况出现, 下标值: 42
[2015-Aug-22 11:15:31.086505] [5]  异常: 可能向量越界情况出现, 下标值: 43
[2015-Aug-22 11:15:31.094005] [5]  异常: 可能向量越界情况出现, 下标值: 44
[2015-Aug-22 11:15:31.104006] [5]  异常: 可能向量越界情况出现, 下标值: 45
[2015-Aug-22 11:15:31.111506] [5]  异常: 可能向量越界情况出现, 下标值: 46
[2015-Aug-22 11:15:31.117756] [5]  异常: 可能向量越界情况出现, 下标值: 47
[2015-Aug-22 11:15:31.125256] [5]  异常: 可能向量越界情况出现, 下标值: 48
[2015-Aug-22 11:15:31.132756] [5]  异常: 可能向量越界情况出现, 下标值: 49
[2015-Aug-22 11:15:31.141506] [5]  异常: 可能向量越界情况出现, 下标值: 50
[2015-Aug-22 11:15:31.149006] [5]  异常: 可能向量越界情况出现, 下标值: 51
[2015-Aug-22 11:15:31.156506] [5]  异常: 可能向量越界情况出现, 下标值: 52
[2015-Aug-22 11:15:31.164007] [5]  异常: 可能向量越界情况出现, 下标值: 53
[2015-Aug-22 11:15:31.172757] [5]  异常: 可能向量越界情况出现, 下标值: 54
[2015-Aug-22 11:15:31.180257] [5]  异常: 可能向量越界情况出现, 下标值: 55
[2015-Aug-22 11:15:31.187757] [5]  异常: 可能向量越界情况出现, 下标值: 56
